# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-204051.log
0|196|INIT |DLL_PROCESS_ATTACH pid=11132
3|196|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
19810|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x21 hCop=0x0158839C ts=0
19819|17184|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
19819|17184|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000022
19820|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x22 hCop=0x0158926C ts=0
19821|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x22 hCop=0x0158926C ts=0
19822|17184|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
19823|17184|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000023
19823|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x23 hCop=0x01589270 ts=0
19823|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x23 hCop=0x01589270 ts=0
19825|17184|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
19826|17184|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000024
19826|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x24 hCop=0x0158926C ts=0
19836|17184|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
19836|17184|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000025
19837|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x25 hCop=0x0158926C ts=0
19837|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x25 hCop=0x0158926C ts=0
19838|17184|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
19838|17184|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000026
19839|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x26 hCop=0x01589270 ts=0
19840|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x26 hCop=0x01589270 ts=0
19840|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x24 hCop=0x0158926C ts=0
19841|17184|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
19842|17184|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000027
19843|17184|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x27 hCop=0x0158926C ts=0
19857|17184|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
19858|17184|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000028
