# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-014723.log
0|6524|INIT |DLL_PROCESS_ATTACH pid=14072
3|6524|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
20641|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x1A pCoPTag=015883A0 ts=0 pData=0217AC30
20642|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x1A pCoPTag=015883A0 ts=0 pData=0217ADE0
20643|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x18 pCoPTag=0158839C ts=0 pData=0217AC30
20644|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
20646|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001B
20646|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1B pCoPTag=0158839C ts=0 pData=0217AC80
20660|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
20660|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001C
20661|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1C pCoPTag=0158839C ts=0 pData=0217AF40
20663|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1C pCoPTag=0158839C ts=0 pData=0217B0F0
20664|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
20664|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001D
20665|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x1D pCoPTag=015883A0 ts=0 pData=0217B1C0
20666|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x1D pCoPTag=015883A0 ts=0 pData=0217B1A0
20667|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1B pCoPTag=0158839C ts=0 pData=0217B030
20668|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
20669|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001E
